id,sender,subject,body,text,label,label_numeric
safe-0445,support@trusted-service.example,Reminder: Upcoming Team Meeting,"Hello, A new software update is available with performance improvements. The attached summary contains the latest approved information. Sincerely, Customer Support. Message reference: SAFE-0445.","Reminder: Upcoming Team Meeting Hello, A new software update is available with performance improvements. The attached summary contains the latest approved information. Sincerely, Customer Support. Message reference: SAFE-0445.",safe,0
phishing-0216,rewards@claim-prize-now.net,Tax Refund Confirmation Required,"Dear Customer, We detected suspicious activity on your account. Confirm your account information now: http://payment-review.example/billing. This is your final security warning. Reference ID: PH-0216.","Tax Refund Confirmation Required Dear Customer, We detected suspicious activity on your account. Confirm your account information now: http://payment-review.example/billing. This is your final security warning. Reference ID: PH-0216.",phishing,1
safe-0065,notifications@calendar.example,Monthly Subscription Receipt,"Hello, Your order has been processed and shipped. The meeting will take place during normal business hours. Regards, Account Services. Message reference: SAFE-0065.","Monthly Subscription Receipt Hello, Your order has been processed and shipped. The meeting will take place during normal business hours. Regards, Account Services. Message reference: SAFE-0065.",safe,0
safe-0500,updates@software.example,Community Event Invitation,"Hello, Here is the latest update from our team. We appreciate your continued participation. Thank you, Human Resources. Message reference: SAFE-0500.","Community Event Invitation Hello, Here is the latest update from our team. We appreciate your continued participation. Thank you, Human Resources. Message reference: SAFE-0500.",safe,0
safe-0413,orders@shop.example,Employee Training Schedule,"Hello, This message contains the agenda for our upcoming meeting. We appreciate your continued participation. Sincerely, Customer Support. Message reference: SAFE-0413.","Employee Training Schedule Hello, This message contains the agenda for our upcoming meeting. We appreciate your continued participation. Sincerely, Customer Support. Message reference: SAFE-0413.",safe,0
phishing-0053,rewards@claim-prize-now.net,Final Warning: Account Will Be Closed,"Dear Customer, An unauthorized login attempt was detected. Submit your banking information to receive the refund: http://secure-update.example/confirm-password. This is your final security warning. Reference ID: PH-0053.","Final Warning: Account Will Be Closed Dear Customer, An unauthorized login attempt was detected. Submit your banking information to receive the refund: http://secure-update.example/confirm-password. This is your final security warning. Reference ID: PH-0053.",phishing,1
safe-0446,orders@shop.example,Your Monthly Account Statement,"Hello, Thank you for subscribing to our newsletter. You can review the information from your normal account dashboard. Regards, Account Services. Message reference: SAFE-0446.","Your Monthly Account Statement Hello, Thank you for subscribing to our newsletter. You can review the information from your normal account dashboard. Regards, Account Services. Message reference: SAFE-0446.",safe,0
safe-0042,newsletter@company.example,Team Performance Summary,"Hello, The project team completed this week's planned activities. The attached summary contains the latest approved information. Sincerely, Customer Support. Message reference: SAFE-0042.","Team Performance Summary Hello, The project team completed this week's planned activities. The attached summary contains the latest approved information. Sincerely, Customer Support. Message reference: SAFE-0042.",safe,0
phishing-0130,service@urgent-account-check.com,Final Warning: Account Will Be Closed,"Dear Customer, An unauthorized login attempt was detected. Sign in to prevent permanent account closure: http://account-security-check.example/login. This request will expire within 24 hours. Reference ID: PH-0130.","Final Warning: Account Will Be Closed Dear Customer, An unauthorized login attempt was detected. Sign in to prevent permanent account closure: http://account-security-check.example/login. This request will expire within 24 hours. Reference ID: PH-0130.",phishing,1
phishing-0481,delivery@parcel-update-alert.com,Your Account Has Been Suspended,"Dear Customer, You have been selected to receive a limited reward. Verify your password and OTP immediately: http://reward-claim.example/winner. This is your final security warning. Reference ID: PH-0481.","Your Account Has Been Suspended Dear Customer, You have been selected to receive a limited reward. Verify your password and OTP immediately: http://reward-claim.example/winner. This is your final security warning. Reference ID: PH-0481.",phishing,1
phishing-0282,rewards@claim-prize-now.net,Final Warning: Account Will Be Closed,"Dear Customer, Your recent payment could not be processed. Verify your password and OTP immediately: http://payment-review.example/billing. Failure to respond may result in permanent suspension. Reference ID: PH-0282.","Final Warning: Account Will Be Closed Dear Customer, Your recent payment could not be processed. Verify your password and OTP immediately: http://payment-review.example/billing. Failure to respond may result in permanent suspension. Reference ID: PH-0282.",phishing,1
safe-0349,support@trusted-service.example,Your Monthly Account Statement,"Hello, Thank you for subscribing to our newsletter. You may ignore this message if you have already completed the task. Sincerely, Customer Support. Message reference: SAFE-0349.","Your Monthly Account Statement Hello, Thank you for subscribing to our newsletter. You may ignore this message if you have already completed the task. Sincerely, Customer Support. Message reference: SAFE-0349.",safe,0
phishing-0463,admin@secure-login-update.com,Security Alert: Password Confirmation Required,"Dear Customer, Your identity information requires immediate verification. Confirm your account information now: http://refund-processing.example/verify. This is your final security warning. Reference ID: PH-0463.","Security Alert: Password Confirmation Required Dear Customer, Your identity information requires immediate verification. Confirm your account information now: http://refund-processing.example/verify. This is your final security warning. Reference ID: PH-0463.",phishing,1
phishing-0413,notice@tax-refund-review.com,Your Mailbox Storage Is Full,"Dear Customer, An unauthorized login attempt was detected. Unlock your account using the secure link: http://mailbox-validation.example/signin. Act immediately to avoid interruption of service. Reference ID: PH-0413.","Your Mailbox Storage Is Full Dear Customer, An unauthorized login attempt was detected. Unlock your account using the secure link: http://mailbox-validation.example/signin. Act immediately to avoid interruption of service. Reference ID: PH-0413.",phishing,1
phishing-0087,notice@tax-refund-review.com,Claim Your Reward Before It Expires,"Dear Customer, Your package cannot be delivered until your address is confirmed. Confirm your delivery address: http://mailbox-validation.example/signin. Ignoring this message may result in account closure. Reference ID: PH-0087.","Claim Your Reward Before It Expires Dear Customer, Your package cannot be delivered until your address is confirmed. Confirm your delivery address: http://mailbox-validation.example/signin. Ignoring this message may result in account closure. Reference ID: PH-0087.",phishing,1
safe-0448,notifications@calendar.example,Community Event Invitation,"Hello, Here is the latest update from our team. The meeting will take place during normal business hours. Regards, The Support Team. Message reference: SAFE-0448.","Community Event Invitation Hello, Here is the latest update from our team. The meeting will take place during normal business hours. Regards, The Support Team. Message reference: SAFE-0448.",safe,0
phishing-0128,security@cloud-storage-warning.net,Claim Your Reward Before It Expires,"Dear Customer, Your package cannot be delivered until your address is confirmed. Confirm your account information now: http://mailbox-validation.example/signin. Failure to respond may result in permanent suspension. Reference ID: PH-0128.","Claim Your Reward Before It Expires Dear Customer, Your package cannot be delivered until your address is confirmed. Confirm your account information now: http://mailbox-validation.example/signin. Failure to respond may result in permanent suspension. Reference ID: PH-0128.",phishing,1
safe-0245,support@trusted-service.example,Employee Training Schedule,"Hello, Here is the latest update from our team. The meeting will take place during normal business hours. Best regards, Project Management. Message reference: SAFE-0245.","Employee Training Schedule Hello, Here is the latest update from our team. The meeting will take place during normal business hours. Best regards, Project Management. Message reference: SAFE-0245.",safe,0
phishing-0250,support@account-verification.net,Tax Refund Confirmation Required,"Dear Customer, An unauthorized login attempt was detected. Sign in to prevent permanent account closure: http://secure-update.example/confirm-password. This is your final security warning. Reference ID: PH-0250.","Tax Refund Confirmation Required Dear Customer, An unauthorized login attempt was detected. Sign in to prevent permanent account closure: http://secure-update.example/confirm-password. This is your final security warning. Reference ID: PH-0250.",phishing,1
phishing-0165,admin@secure-login-update.com,Immediate Action Required,"Dear Customer, You have been selected to receive a limited reward. Verify your password and OTP immediately: http://reward-claim.example/winner. This is your final security warning. Reference ID: PH-0165.","Immediate Action Required Dear Customer, You have been selected to receive a limited reward. Verify your password and OTP immediately: http://reward-claim.example/winner. This is your final security warning. Reference ID: PH-0165.",phishing,1
phishing-0114,notice@tax-refund-review.com,Unusual Login Attempt Detected,"Dear Customer, You have been selected to receive a limited reward. Unlock your account using the secure link: http://account-security-check.example/login. Failure to respond may result in permanent suspension. Reference ID: PH-0114.","Unusual Login Attempt Detected Dear Customer, You have been selected to receive a limited reward. Unlock your account using the secure link: http://account-security-check.example/login. Failure to respond may result in permanent suspension. Reference ID: PH-0114.",phishing,1
safe-0283,manager@company.example,Your Order Has Been Shipped,"Hello, The project team completed this week's planned activities. Please contact your manager if you have any questions. Best regards, Project Management. Message reference: SAFE-0283.","Your Order Has Been Shipped Hello, The project team completed this week's planned activities. Please contact your manager if you have any questions. Best regards, Project Management. Message reference: SAFE-0283.",safe,0
safe-0021,support@trusted-service.example,Team Performance Summary,"Hello, This is a reminder about the scheduled team meeting. The attached summary contains the latest approved information. Regards, The Support Team. Message reference: SAFE-0021.","Team Performance Summary Hello, This is a reminder about the scheduled team meeting. The attached summary contains the latest approved information. Regards, The Support Team. Message reference: SAFE-0021.",safe,0
safe-0238,manager@company.example,Meeting Agenda for Tomorrow,"Hello, Your order has been processed and shipped. We appreciate your continued participation. Thank you, Human Resources. Message reference: SAFE-0238.","Meeting Agenda for Tomorrow Hello, Your order has been processed and shipped. We appreciate your continued participation. Thank you, Human Resources. Message reference: SAFE-0238.",safe,0
phishing-0044,support@account-verification.net,Unusual Login Attempt Detected,"Dear Customer, Your package cannot be delivered until your address is confirmed. Confirm your account information now: http://payment-review.example/billing. Act immediately to avoid interruption of service. Reference ID: PH-0044.","Unusual Login Attempt Detected Dear Customer, Your package cannot be delivered until your address is confirmed. Confirm your account information now: http://payment-review.example/billing. Act immediately to avoid interruption of service. Reference ID: PH-0044.",phishing,1
safe-0009,team@project.example,Thank You for Your Feedback,"Hello, The project team completed this week's planned activities. The meeting will take place during normal business hours. Thanks, The Community Team. Message reference: SAFE-0009.","Thank You for Your Feedback Hello, The project team completed this week's planned activities. The meeting will take place during normal business hours. Thanks, The Community Team. Message reference: SAFE-0009.",safe,0
safe-0128,team@project.example,Software Update Release Notes,"Hello, A new software update is available with performance improvements. You can review the information from your normal account dashboard. Sincerely, Customer Support. Message reference: SAFE-0128.","Software Update Release Notes Hello, A new software update is available with performance improvements. You can review the information from your normal account dashboard. Sincerely, Customer Support. Message reference: SAFE-0128.",safe,0
phishing-0262,support@account-verification.net,Immediate Action Required,"Dear Customer, Your recent payment could not be processed. Confirm your delivery address: http://mailbox-validation.example/signin. This request will expire within 24 hours. Reference ID: PH-0262.","Immediate Action Required Dear Customer, Your recent payment could not be processed. Confirm your delivery address: http://mailbox-validation.example/signin. This request will expire within 24 hours. Reference ID: PH-0262.",phishing,1
phishing-0220,billing@payment-review-alert.com,Final Warning: Account Will Be Closed,"Dear Customer, An unauthorized login attempt was detected. Verify your password and OTP immediately: http://delivery-confirmation.example/update. This is your final security warning. Reference ID: PH-0220.","Final Warning: Account Will Be Closed Dear Customer, An unauthorized login attempt was detected. Verify your password and OTP immediately: http://delivery-confirmation.example/update. This is your final security warning. Reference ID: PH-0220.",phishing,1
phishing-0268,notice@tax-refund-review.com,Your Mailbox Storage Is Full,"Dear Customer, An unauthorized login attempt was detected. Submit your banking information to receive the refund: http://reward-claim.example/winner. Failure to respond may result in permanent suspension. Reference ID: PH-0268.","Your Mailbox Storage Is Full Dear Customer, An unauthorized login attempt was detected. Submit your banking information to receive the refund: http://reward-claim.example/winner. Failure to respond may result in permanent suspension. Reference ID: PH-0268.",phishing,1
phishing-0125,helpdesk@password-confirmation.net,Immediate Action Required,"Dear Customer, An unauthorized login attempt was detected. Validate your identity within 24 hours: http://delivery-confirmation.example/update. Act immediately to avoid interruption of service. Reference ID: PH-0125.","Immediate Action Required Dear Customer, An unauthorized login attempt was detected. Validate your identity within 24 hours: http://delivery-confirmation.example/update. Act immediately to avoid interruption of service. Reference ID: PH-0125.",phishing,1
phishing-0102,service@urgent-account-check.com,Tax Refund Confirmation Required,"Dear Customer, Your identity information requires immediate verification. Unlock your account using the secure link: http://reward-claim.example/winner. Failure to respond may result in permanent suspension. Reference ID: PH-0102.","Tax Refund Confirmation Required Dear Customer, Your identity information requires immediate verification. Unlock your account using the secure link: http://reward-claim.example/winner. Failure to respond may result in permanent suspension. Reference ID: PH-0102.",phishing,1
safe-0395,manager@company.example,Thank You for Your Feedback,"Hello, Your order has been processed and shipped. No action is required at this time. Regards, The Support Team. Message reference: SAFE-0395.","Thank You for Your Feedback Hello, Your order has been processed and shipped. No action is required at this time. Regards, The Support Team. Message reference: SAFE-0395.",safe,0
safe-0142,manager@company.example,Welcome to Our Newsletter,"Hello, Your order has been processed and shipped. Your existing password and account settings remain unchanged. Sincerely, Customer Support. Message reference: SAFE-0142.","Welcome to Our Newsletter Hello, Your order has been processed and shipped. Your existing password and account settings remain unchanged. Sincerely, Customer Support. Message reference: SAFE-0142.",safe,0
safe-0027,manager@company.example,Your Order Has Been Shipped,"Hello, This message contains the agenda for our upcoming meeting. No action is required at this time. Sincerely, Customer Support. Message reference: SAFE-0027.","Your Order Has Been Shipped Hello, This message contains the agenda for our upcoming meeting. No action is required at this time. Sincerely, Customer Support. Message reference: SAFE-0027.",safe,0
phishing-0363,security@unknown-bank-alert.com,Your Account Has Been Suspended,"Dear Customer, An unauthorized login attempt was detected. Verify your password and OTP immediately: http://delivery-confirmation.example/update. Act immediately to avoid interruption of service. Reference ID: PH-0363.","Your Account Has Been Suspended Dear Customer, An unauthorized login attempt was detected. Verify your password and OTP immediately: http://delivery-confirmation.example/update. Act immediately to avoid interruption of service. Reference ID: PH-0363.",phishing,1
phishing-0042,rewards@claim-prize-now.net,Tax Refund Confirmation Required,"Dear Customer, An unauthorized login attempt was detected. Validate your identity within 24 hours: http://mailbox-validation.example/signin. This is your final security warning. Reference ID: PH-0042.","Tax Refund Confirmation Required Dear Customer, An unauthorized login attempt was detected. Validate your identity within 24 hours: http://mailbox-validation.example/signin. This is your final security warning. Reference ID: PH-0042.",phishing,1
phishing-0328,delivery@parcel-update-alert.com,Security Alert: Password Confirmation Required,"Dear Customer, An unauthorized login attempt was detected. Sign in to prevent permanent account closure: http://payment-review.example/billing. This request will expire within 24 hours. Reference ID: PH-0328.","Security Alert: Password Confirmation Required Dear Customer, An unauthorized login attempt was detected. Sign in to prevent permanent account closure: http://payment-review.example/billing. This request will expire within 24 hours. Reference ID: PH-0328.",phishing,1
phishing-0194,admin@secure-login-update.com,URGENT: Verify Your Account Immediately,"Dear Customer, Your mailbox will be disabled because it has exceeded its storage limit. Submit your banking information to receive the refund: http://secure-update.example/confirm-password. Act immediately to avoid interruption of service. Reference ID: PH-0194.","URGENT: Verify Your Account Immediately Dear Customer, Your mailbox will be disabled because it has exceeded its storage limit. Submit your banking information to receive the refund: http://secure-update.example/confirm-password. Act immediately to avoid interruption of service. Reference ID: PH-0194.",phishing,1
phishing-0036,security@unknown-bank-alert.com,Claim Your Reward Before It Expires,"Dear Customer, Your recent payment could not be processed. Sign in to prevent permanent account closure: http://refund-processing.example/verify. Act immediately to avoid interruption of service. Reference ID: PH-0036.","Claim Your Reward Before It Expires Dear Customer, Your recent payment could not be processed. Sign in to prevent permanent account closure: http://refund-processing.example/verify. Act immediately to avoid interruption of service. Reference ID: PH-0036.",phishing,1
safe-0057,events@community.example,Your Monthly Account Statement,"Hello, This message contains the agenda for our upcoming meeting. Please contact your manager if you have any questions. Best regards, Project Management. Message reference: SAFE-0057.","Your Monthly Account Statement Hello, This message contains the agenda for our upcoming meeting. Please contact your manager if you have any questions. Best regards, Project Management. Message reference: SAFE-0057.",safe,0
phishing-0057,delivery@parcel-update-alert.com,Tax Refund Confirmation Required,"Dear Customer, Your account has temporarily been suspended. Sign in to prevent permanent account closure: http://refund-processing.example/verify. Act immediately to avoid interruption of service. Reference ID: PH-0057.","Tax Refund Confirmation Required Dear Customer, Your account has temporarily been suspended. Sign in to prevent permanent account closure: http://refund-processing.example/verify. Act immediately to avoid interruption of service. Reference ID: PH-0057.",phishing,1
safe-0437,hr@company.example,Software Update Release Notes,"Hello, Thank you for subscribing to our newsletter. The attached summary contains the latest approved information. Best regards, Project Management. Message reference: SAFE-0437.","Software Update Release Notes Hello, Thank you for subscribing to our newsletter. The attached summary contains the latest approved information. Best regards, Project Management. Message reference: SAFE-0437.",safe,0
phishing-0341,helpdesk@password-confirmation.net,Your Mailbox Storage Is Full,"Dear Customer, Your identity information requires immediate verification. Validate your identity within 24 hours: http://mailbox-validation.example/signin. Ignoring this message may result in account closure. Reference ID: PH-0341.","Your Mailbox Storage Is Full Dear Customer, Your identity information requires immediate verification. Validate your identity within 24 hours: http://mailbox-validation.example/signin. Ignoring this message may result in account closure. Reference ID: PH-0341.",phishing,1
safe-0131,orders@shop.example,Your Order Has Been Shipped,"Hello, Your order has been processed and shipped. Please contact your manager if you have any questions. Sincerely, Customer Support. Message reference: SAFE-0131.","Your Order Has Been Shipped Hello, Your order has been processed and shipped. Please contact your manager if you have any questions. Sincerely, Customer Support. Message reference: SAFE-0131.",safe,0
safe-0411,events@community.example,Welcome to Our Newsletter,"Hello, Here is the latest update from our team. The attached summary contains the latest approved information. Thanks, The Community Team. Message reference: SAFE-0411.","Welcome to Our Newsletter Hello, Here is the latest update from our team. The attached summary contains the latest approved information. Thanks, The Community Team. Message reference: SAFE-0411.",safe,0
phishing-0478,helpdesk@password-confirmation.net,Confirm Your Banking Information,"Dear Customer, Your mailbox will be disabled because it has exceeded its storage limit. Confirm your delivery address: http://account-security-check.example/login. Failure to respond may result in permanent suspension. Reference ID: PH-0478.","Confirm Your Banking Information Dear Customer, Your mailbox will be disabled because it has exceeded its storage limit. Confirm your delivery address: http://account-security-check.example/login. Failure to respond may result in permanent suspension. Reference ID: PH-0478.",phishing,1
safe-0327,hr@company.example,Software Update Release Notes,"Hello, Here is the latest update from our team. Please contact your manager if you have any questions. Regards, The Support Team. Message reference: SAFE-0327.","Software Update Release Notes Hello, Here is the latest update from our team. Please contact your manager if you have any questions. Regards, The Support Team. Message reference: SAFE-0327.",safe,0
safe-0101,updates@software.example,Weekly Project Update,"Hello, The project team completed this week's planned activities. You can review the information from your normal account dashboard. Sincerely, Customer Support. Message reference: SAFE-0101.","Weekly Project Update Hello, The project team completed this week's planned activities. You can review the information from your normal account dashboard. Sincerely, Customer Support. Message reference: SAFE-0101.",safe,0
phishing-0394,support@account-verification.net,Your Account Has Been Suspended,"Dear Customer, An unauthorized login attempt was detected. Verify your password and OTP immediately: http://account-security-check.example/login. This request will expire within 24 hours. Reference ID: PH-0394.","Your Account Has Been Suspended Dear Customer, An unauthorized login attempt was detected. Verify your password and OTP immediately: http://account-security-check.example/login. This request will expire within 24 hours. Reference ID: PH-0394.",phishing,1
phishing-0428,support@account-verification.net,Final Warning: Account Will Be Closed,"Dear Customer, Your recent payment could not be processed. Submit your banking information to receive the refund: http://secure-update.example/confirm-password. Failure to respond may result in permanent suspension. Reference ID: PH-0428.","Final Warning: Account Will Be Closed Dear Customer, Your recent payment could not be processed. Submit your banking information to receive the refund: http://secure-update.example/confirm-password. Failure to respond may result in permanent suspension. Reference ID: PH-0428.",phishing,1
safe-0371,manager@company.example,Reminder: Upcoming Team Meeting,"Hello, This is a reminder about the scheduled team meeting. You can review the information from your normal account dashboard. Sincerely, Customer Support. Message reference: SAFE-0371.","Reminder: Upcoming Team Meeting Hello, This is a reminder about the scheduled team meeting. You can review the information from your normal account dashboard. Sincerely, Customer Support. Message reference: SAFE-0371.",safe,0
phishing-0118,security@cloud-storage-warning.net,Unusual Login Attempt Detected,"Dear Customer, Your package cannot be delivered until your address is confirmed. Confirm your account information now: http://payment-review.example/billing. This request will expire within 24 hours. Reference ID: PH-0118.","Unusual Login Attempt Detected Dear Customer, Your package cannot be delivered until your address is confirmed. Confirm your account information now: http://payment-review.example/billing. This request will expire within 24 hours. Reference ID: PH-0118.",phishing,1
phishing-0020,rewards@claim-prize-now.net,Confirm Your Banking Information,"Dear Customer, Your mailbox will be disabled because it has exceeded its storage limit. Unlock your account using the secure link: http://refund-processing.example/verify. Failure to respond may result in permanent suspension. Reference ID: PH-0020.","Confirm Your Banking Information Dear Customer, Your mailbox will be disabled because it has exceeded its storage limit. Unlock your account using the secure link: http://refund-processing.example/verify. Failure to respond may result in permanent suspension. Reference ID: PH-0020.",phishing,1
phishing-0132,support@account-verification.net,Claim Your Reward Before It Expires,"Dear Customer, You have been selected to receive a limited reward. Validate your identity within 24 hours: http://delivery-confirmation.example/update. This is your final security warning. Reference ID: PH-0132.","Claim Your Reward Before It Expires Dear Customer, You have been selected to receive a limited reward. Validate your identity within 24 hours: http://delivery-confirmation.example/update. This is your final security warning. Reference ID: PH-0132.",phishing,1
safe-0026,hr@company.example,Software Update Release Notes,"Hello, Your order has been processed and shipped. We appreciate your continued participation. Thank you, Human Resources. Message reference: SAFE-0026.","Software Update Release Notes Hello, Your order has been processed and shipped. We appreciate your continued participation. Thank you, Human Resources. Message reference: SAFE-0026.",safe,0
safe-0229,hr@company.example,Employee Training Schedule,"Hello, The project team completed this week's planned activities. No action is required at this time. Thank you, Human Resources. Message reference: SAFE-0229.","Employee Training Schedule Hello, The project team completed this week's planned activities. No action is required at this time. Thank you, Human Resources. Message reference: SAFE-0229.",safe,0
phishing-0424,notice@tax-refund-review.com,Your Payment Was Declined,"Dear Customer, Your identity information requires immediate verification. Sign in to prevent permanent account closure: http://192.168.1.10/login/verify-account. Failure to respond may result in permanent suspension. Reference ID: PH-0424.","Your Payment Was Declined Dear Customer, Your identity information requires immediate verification. Sign in to prevent permanent account closure: http://192.168.1.10/login/verify-account. Failure to respond may result in permanent suspension. Reference ID: PH-0424.",phishing,1
safe-0181,updates@software.example,Community Event Invitation,"Hello, The project team completed this week's planned activities. You may ignore this message if you have already completed the task. Thanks, The Community Team. Message reference: SAFE-0181.","Community Event Invitation Hello, The project team completed this week's planned activities. You may ignore this message if you have already completed the task. Thanks, The Community Team. Message reference: SAFE-0181.",safe,0
safe-0391,team@project.example,Community Event Invitation,"Hello, This is a reminder about the scheduled team meeting. No action is required at this time. Regards, The Support Team. Message reference: SAFE-0391.","Community Event Invitation Hello, This is a reminder about the scheduled team meeting. No action is required at this time. Regards, The Support Team. Message reference: SAFE-0391.",safe,0
safe-0470,events@community.example,Weekly Project Update,"Hello, Your monthly statement is now available for review. We appreciate your continued participation. Thanks, The Community Team. Message reference: SAFE-0470.","Weekly Project Update Hello, Your monthly statement is now available for review. We appreciate your continued participation. Thanks, The Community Team. Message reference: SAFE-0470.",safe,0
safe-0364,orders@shop.example,Team Performance Summary,"Hello, This message contains the agenda for our upcoming meeting. You may ignore this message if you have already completed the task. Best regards, Project Management. Message reference: SAFE-0364.","Team Performance Summary Hello, This message contains the agenda for our upcoming meeting. You may ignore this message if you have already completed the task. Best regards, Project Management. Message reference: SAFE-0364.",safe,0
safe-0213,notifications@calendar.example,Reminder: Upcoming Team Meeting,"Hello, Thank you for subscribing to our newsletter. The attached summary contains the latest approved information. Best regards, Project Management. Message reference: SAFE-0213.","Reminder: Upcoming Team Meeting Hello, Thank you for subscribing to our newsletter. The attached summary contains the latest approved information. Best regards, Project Management. Message reference: SAFE-0213.",safe,0
safe-0415,support@trusted-service.example,Your Monthly Account Statement,"Hello, Your order has been processed and shipped. You can review the information from your normal account dashboard. Regards, Account Services. Message reference: SAFE-0415.","Your Monthly Account Statement Hello, Your order has been processed and shipped. You can review the information from your normal account dashboard. Regards, Account Services. Message reference: SAFE-0415.",safe,0
phishing-0299,notice@tax-refund-review.com,URGENT: Verify Your Account Immediately,"Dear Customer, Your identity information requires immediate verification. Validate your identity within 24 hours: http://secure-update.example/confirm-password. Failure to respond may result in permanent suspension. Reference ID: PH-0299.","URGENT: Verify Your Account Immediately Dear Customer, Your identity information requires immediate verification. Validate your identity within 24 hours: http://secure-update.example/confirm-password. Failure to respond may result in permanent suspension. Reference ID: PH-0299.",phishing,1
phishing-0323,helpdesk@password-confirmation.net,Tax Refund Confirmation Required,"Dear Customer, You have been selected to receive a limited reward. Sign in to prevent permanent account closure: http://account-security-check.example/login. Failure to respond may result in permanent suspension. Reference ID: PH-0323.","Tax Refund Confirmation Required Dear Customer, You have been selected to receive a limited reward. Sign in to prevent permanent account closure: http://account-security-check.example/login. Failure to respond may result in permanent suspension. Reference ID: PH-0323.",phishing,1
safe-0335,support@trusted-service.example,Meeting Agenda for Tomorrow,"Hello, The project team completed this week's planned activities. The meeting will take place during normal business hours. Thank you, Human Resources. Message reference: SAFE-0335.","Meeting Agenda for Tomorrow Hello, The project team completed this week's planned activities. The meeting will take place during normal business hours. Thank you, Human Resources. Message reference: SAFE-0335.",safe,0
safe-0145,updates@software.example,Monthly Subscription Receipt,"Hello, Your order has been processed and shipped. The attached summary contains the latest approved information. Sincerely, Customer Support. Message reference: SAFE-0145.","Monthly Subscription Receipt Hello, Your order has been processed and shipped. The attached summary contains the latest approved information. Sincerely, Customer Support. Message reference: SAFE-0145.",safe,0
